City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salalah,OM,81.16,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
5,Rikitea,PF,75.24,few clouds,-23.1203,-134.9692,People ThankYou
10,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Jamestown,US,80.24,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
27,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
29,Kudahuvadhoo,MV,83.21,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
33,Itupiranga,BR,88.12,broken clouds,-5.1347,-49.3267,Hotel Panorama
34,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
35,Topola,RS,74.48,overcast clouds,44.2542,20.6825,Хотел „Опленац“ ДОО
36,Jalu,LY,72.57,clear sky,29.0331,21.5482,صاحبة الفخامة
37,Quatre Cocos,MU,75.31,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
38,Kahului,US,81.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
41,Bima,ID,72.77,clear sky,-8.4667,118.7167,Lambitu Hotel
44,Silver City,US,78.76,clear sky,32.7701,-108.2803,Copper Manor Motel
45,Tallahassee,US,76.68,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
46,Hithadhoo,MV,83.05,few clouds,-0.6,73.0833,Scoop Guest House
47,Luganville,VU,76.01,few clouds,-15.5333,167.1667,The Espiritu Hotel
51,Itacurubi Del Rosario,PY,72.18,few clouds,-24.5,-56.6833,Estancia Rodeo Tajy
52,Carnarvon,AU,71.28,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
54,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
55,Butaritari,KI,80.94,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
56,Coroico,BO,74.07,scattered clouds,-16.1889,-67.7271,Villa Saracena
58,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
60,Jieshi,CN,76.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
69,Port Hedland,AU,73.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
74,Victoria,HK,78.85,overcast clouds,22.2855,114.1577,Mini Central
75,Saint-Philippe,RE,71.19,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Santa Fe,AR,75.02,light rain,-31.6333,-60.7,Conquistador Hotel
77,Karratha,AU,76.75,light rain,-20.7377,116.8463,ibis Styles Karratha
78,Wakema,MM,79.72,overcast clouds,16.6,95.1833,AungKaDay Hotel
80,Tevaitoa,PF,80.2,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
83,Touros,BR,82.67,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
85,Kismayo,SO,79.63,overcast clouds,-0.3582,42.5454,Agan-Hotel
87,Khuzdar,PK,80.2,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
92,Atuona,PF,77.67,few clouds,-9.8,-139.0333,Villa Enata
98,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
103,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
105,Bubaque,GW,79.0,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
108,Sao Filipe,CV,72.9,broken clouds,14.8961,-24.4956,Hotel Xaguate
112,Popondetta,PG,72.18,few clouds,-8.7537,148.2534,Timos Transit House
115,Kloulklubed,PW,83.26,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
119,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
120,Sinnamary,GF,77.97,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
121,Mabaruma,GY,83.68,broken clouds,8.2,-59.7833,Monty Brooms Guest House
122,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
125,Weatherford,US,85.05,overcast clouds,32.7593,-97.7972,Woodland Suites
126,Bud,US,82.74,moderate rain,39.447,-86.1758,Ted McQuinn Trust
128,Erzin,TR,71.26,clear sky,36.9559,36.2,Artemis Otel
129,Ponta Do Sol,PT,70.72,scattered clouds,32.6667,-17.1,Hotel do Campo
130,Kilindoni,TZ,79.88,few clouds,-7.9139,39.6668,Bustani B&B
131,Adolfo Lopez Mateos,MX,78.93,clear sky,28.4667,-107.3,Hotel Victor Inn
133,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
138,Sitio Novo Do Tocantins,BR,87.73,clear sky,-5.5183,-47.4611,Imperial Hotel
139,Praia Da Vitoria,PT,70.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
142,Puerto Lempira,HN,78.94,overcast clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
143,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
144,Hilo,US,76.62,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
149,Ukiah,US,81.45,scattered clouds,39.1502,-123.2078,Hampton Inn Ukiah
152,Makakilo City,US,80.01,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
155,Aksu,CN,75.69,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
156,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
157,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
158,Arraial Do Cabo,BR,73.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
159,Evans,US,89.85,overcast clouds,33.5337,-82.1307,Evans hide out
160,Bonthe,SL,76.17,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
162,Pangkalanbuun,ID,75.22,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
165,Saint George,US,74.79,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
169,Bengkulu,ID,76.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Alcudia,ES,76.95,few clouds,39.8532,3.1214,Zafiro Tropic
178,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
179,Axim,GH,77.0,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
182,Matara,LK,78.69,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
184,Meulaboh,ID,77.88,overcast clouds,4.1363,96.1285,Kost Pria
189,Lorengau,PG,82.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
192,Manggar,ID,80.89,overcast clouds,-2.8833,108.2667,Guest Hotel
193,Puerto Carreno,CO,88.32,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
198,Forio,IT,70.09,few clouds,40.7342,13.8646,Hotel Terme Providence
200,Pontianak,ID,78.78,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
204,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
205,Xuanhua,CN,70.83,overcast clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
206,Faanui,PF,80.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
209,Varzelandia,BR,81.86,clear sky,-15.7014,-44.0275,Pousada Portal da Cidade
212,Akyab,MM,84.2,overcast clouds,20.15,92.9,Hotel Memory
213,Almenara,BR,80.83,clear sky,-16.1836,-40.6944,Pousada Estância
214,Faya,SA,72.66,clear sky,18.3851,42.4509,املاك خالد الشعشوع
218,Sampit,ID,75.0,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
219,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
223,Gorontalo,ID,75.74,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
226,Souillac,MU,73.89,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
231,Vinh,VN,75.96,moderate rain,18.6667,105.6667,Vuong Hoan 2
239,Antalaha,MG,73.22,moderate rain,-14.9003,50.2788,Hotel Vitasoa
240,Sola,VU,80.85,scattered clouds,-13.8833,167.55,Leumerus Bungalows
242,Kavaratti,IN,83.37,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
243,Nabagram,IN,82.38,overcast clouds,22.2881,88.5092,NASKAR HOUSE .NABAGRAM FULTALA
246,Hamilton,US,84.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
247,Tual,ID,82.2,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
248,Mazatlan,MX,83.01,clear sky,23.2167,-106.4167,Hotel La Siesta
253,Monrovia,LR,77.77,light rain,6.3005,-10.7969,Sunset Inn
254,Muros,ES,72.09,light rain,42.7762,-9.0603,Apartment Av. Castelao
258,Veraval,IN,83.14,scattered clouds,20.9,70.3667,Lords Inn Somnath
261,Kantang,TH,79.41,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
263,Bandarbeyla,SO,80.64,overcast clouds,9.4942,50.8122,JABIR HOTEL
266,Laguna,US,82.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
267,Russell,US,89.91,overcast clouds,32.3502,-85.1999,Macs
268,Caravelas,BR,75.29,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
269,Anloga,GH,78.12,light rain,5.7947,0.8973,Pin Drop Hotel
270,Tecpan,GT,71.89,overcast clouds,14.7623,-90.9947,Villa San Ricardo
272,Oshawa,CA,73.81,overcast clouds,43.9001,-78.8496,Comfort Inn
276,Eyl,SO,83.41,broken clouds,7.9803,49.8164,Amiin Hotel
279,Luzilandia,BR,83.64,moderate rain,-3.4578,-42.3703,Pousada Pontes
283,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
284,Mana,GF,78.22,light rain,5.6592,-53.7767,LE SAMANA
285,Exaplatanos,GR,70.21,clear sky,40.9772,22.125,Deppy's House κοντά στα ΛΟΥΤΡΑ ΠΟΖΑΡ
286,Brcko,BA,75.02,broken clouds,44.8728,18.8083,Vila Bakarni
287,Correntina,BR,87.76,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
288,Jibuti,DJ,88.32,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
292,Bacolod,PH,78.57,scattered clouds,10.6667,122.95,Planta Hotel & Residences
294,Morales,CO,72.57,moderate rain,2.757,-76.6172,Finca Santa Catalina
295,Bambous Virieux,MU,73.22,clear sky,-20.3428,57.7575,Casa Tia Villa
299,Hun,LY,73.62,clear sky,29.1268,15.9477,Alrwasi Hotel
302,Alta Floresta,BR,82.62,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
304,Salvador,SV,79.2,overcast clouds,13.8333,-88.9167,Chico's Ranch
306,Padang,ID,77.7,heavy intensity rain,-0.9492,100.3543,Mercure Padang
307,Sibiti,CG,70.41,overcast clouds,-3.6819,13.3499,Gaby et confort
309,Quang Ngai,VN,77.16,overcast clouds,15.1167,108.8,Central Hotel
313,Camacari,BR,82.17,broken clouds,-12.6975,-38.3242,Sítio Blasi
314,Luang Prabang,LA,74.7,moderate rain,19.8856,102.1347,The Apsara
315,Barstow,US,77.99,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
319,Peniche,PT,72.09,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
321,Kaikalur,IN,85.73,overcast clouds,16.5667,81.2,మార్వాడీ హోటల్.
323,Biak,ID,75.11,overcast clouds,-0.9131,122.8766,Penginapan Kim
327,Kupang,ID,76.15,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
328,Kieta,PG,78.04,few clouds,-6.2167,155.6333,Uruna Bay Retreat
329,Kununurra,AU,71.58,clear sky,-15.7667,128.7333,Hotel Kununurra
331,Guerrero Negro,MX,71.44,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
333,Daphne,US,87.85,few clouds,30.6035,-87.9036,Pine Grove Lodge
336,Muisne,EC,80.56,overcast clouds,0.6,-80.0333,Quinta Samay
337,Huron,US,85.44,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
343,Huesca,ES,83.08,clear sky,42.1362,-0.4087,Hotel Sancho Abarca SPA Huesca
347,Ewa Beach,US,82.4,clear sky,21.3156,-158.0072,Base Lodging
350,Tautira,PF,79.12,few clouds,-17.7333,-149.15,Pension Oaoa
354,Saint-Pierre,RE,71.28,few clouds,-21.3393,55.4781,Alize Plage
355,Dingle,PH,76.33,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
356,Prado,BR,75.13,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
362,Wewak,PG,77.92,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
363,Belgrade,RS,75.38,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
369,Natal,BR,84.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
370,Macae,BR,70.23,scattered clouds,-22.3708,-41.7869,Golden Tulip Macaé
373,Nabire,ID,75.15,moderate rain,-3.3667,135.4833,Hotel Nusantara I
374,La Cruz,MX,82.76,clear sky,23.9167,-106.9,Jesús angel
377,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
384,Esmeraldas,BR,72.46,clear sky,-19.7625,-44.3139,Forasteiro Pousada
386,Porto Walter,BR,88.66,scattered clouds,-8.2686,-72.7439,Secretaria de saúde
388,Corn Island,NI,82.62,moderate rain,12.1694,-83.0418,Big Fish Guest House
390,San Jose,US,83.48,few clouds,37.3394,-121.895,The Westin San Jose
402,Panama City,PA,89.38,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
407,Sawakin,SD,85.66,scattered clouds,19.1059,37.3321,فندق الدويم
413,Paris,FR,73.18,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
414,Cairns,AU,75.15,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
415,Kumasi,GH,71.13,light rain,6.6885,-1.6244,Okumah Hotels - kaase
417,Wanning,CN,77.43,moderate rain,18.8003,110.3967,Paradise Hotel
419,Garowe,SO,86.38,broken clouds,8.4054,48.4845,Curubo Hotel
425,Narbonne,FR,78.03,broken clouds,43.0833,2.8333,Domaine du Soleil Couchant - Bed & Breakfast in
428,Sisophon,KH,76.98,overcast clouds,13.5859,102.9737,Pyramid Hotel
430,Mercedes,AR,74.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
431,Mehran,IR,80.98,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
434,Jodhpur,IN,86.61,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
436,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
440,Lompoc,US,76.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
443,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
447,Puerto Madero,MX,89.8,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
452,Bria,CF,72.43,scattered clouds,6.5423,21.9863,WFP Guesthouse
457,Puerto Leguizamo,CO,79.47,overcast clouds,-0.1934,-74.7819,la casona de juancho
460,Inirida,CO,81.5,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
461,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
462,Coahuayana,MX,89.31,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
464,Chapada Dos Guimaraes,BR,76.66,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
467,Paducah,US,83.61,heavy intensity rain,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
468,Karaton,ID,73.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
470,Ikare,NG,73.13,overcast clouds,7.4913,5.2322,Inisa Gardens Hotel & Events Centre
471,Formosa,AR,71.89,overcast clouds,-26.1775,-58.1781,Asterión Hotel
472,Wajir,KE,85.06,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
474,Port Moresby,PG,74.88,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
478,Camocim,BR,83.3,light rain,-2.9022,-40.8411,Ilha Praia Hotel
479,Marsh Harbour,BS,81.1,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
483,Dromolaxia,CY,78.98,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
484,Tura,IN,71.87,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
486,Porto Velho,BR,87.85,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
490,Playas,EC,75.25,broken clouds,-2.6333,-80.3833,Hostal Promenade
492,Nsanje,MW,76.78,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
494,Saint-Paul,RE,71.71,few clouds,-21.0096,55.2707,Boucan Canot
496,Innisfail,AU,72.23,overcast clouds,-17.5333,146.0333,Moondarra Motel
497,Pandan,PH,79.57,overcast clouds,14.0453,124.1694,Bonifacio Lodge
498,Mogadishu,SO,79.99,overcast clouds,2.0371,45.3438,Hotel Juba
499,Changji,CN,75.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
502,Mount Pleasant,US,87.1,clear sky,32.7941,-79.8626,Best Western Patriots Point
507,Omboue,GA,76.37,overcast clouds,-1.5746,9.2618,Hotel Olako
509,Korla,CN,78.4,overcast clouds,41.7597,86.1469,Gulisitan Hotel
510,Lucapa,AO,74.12,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
511,Bairiki,KI,80.6,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
514,Igbo Ora,NG,76.21,overcast clouds,7.4333,3.2833,Pinkbell Inn
516,Miraflores,MX,83.16,scattered clouds,19.2167,-98.8083,Hotel Mansión
517,Adoni,IN,76.69,broken clouds,15.6333,77.2833,Bheemas Regency
520,Ende,ID,75.67,clear sky,-8.8432,121.6623,Dwi Putra Hotel - Ende
522,Benguela,AO,70.7,broken clouds,-12.5763,13.4055,Hotel Praia Morena
531,Santa Marta,CO,87.06,few clouds,11.2408,-74.199,Hotel La Ballena Azul
533,Abha,SA,70.05,clear sky,18.2164,42.5053,Abha Hotel
535,Ampanihy,MG,70.61,clear sky,-24.7,44.75,Angora Hotel
537,Miandrivazo,MG,73.44,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
542,Kawalu,ID,72.45,overcast clouds,-7.3817,108.2082,West Jontor
545,Patiya,BD,78.44,moderate rain,22.2931,91.9762,Simon and marup bila
546,Lakshmipur,BD,82.54,overcast clouds,22.95,90.8333,Khalekgonjo Sufi Rowson Ali Dakhil Madrasha
547,Daru,PG,79.61,few clouds,-9.0763,143.2092,Daru Lodge
548,Algemesi,ES,78.87,overcast clouds,39.1833,-0.4333,Hotel Lluna Alzira
549,Isabela,PH,78.75,overcast clouds,6.7085,121.9711,Isawad Resort
556,Aguilas,ES,77.58,overcast clouds,37.4063,-1.5829,Hotel Carlos III
558,Lewisporte,CA,70.56,overcast clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
562,Namatanai,PG,79.18,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
563,Jawhar,SO,77.81,overcast clouds,2.7809,45.5005,Hotel Shabelle
566,Kupino,RU,70.54,overcast clouds,54.3663,77.2981,Hotel Sibiria Inn
567,Takoradi,GH,77.72,moderate rain,4.8845,-1.7554,Raybow International Hotel
570,Isangel,VU,78.19,overcast clouds,-19.55,169.2667,Tanna Lodge
571,Ambilobe,MG,74.39,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
573,Resistencia,AR,75.06,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
574,Vallenar,CL,78.96,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
575,Nalhati,IN,85.42,clear sky,24.3,87.8167,GAMING EVO
577,Nimes,FR,76.75,clear sky,43.8333,4.35,Hôtel Cesar
580,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
581,Kuching,MY,75.42,scattered clouds,1.55,110.3333,Hilton Kuching
582,Isla Vista,US,77.0,broken clouds,34.4133,-119.861,Best Western Plus South Coast Inn
585,Alappuzha,IN,79.95,broken clouds,9.49,76.3264,Panoramic Sea Resort
586,California City,US,77.4,clear sky,35.1258,-117.9859,Best Western California City Inn & Suites
587,Saint-Francois,FR,76.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
590,Dawei,MM,77.58,overcast clouds,14.0833,98.2,Hotel Dawei
591,Cabinda,AO,75.94,clear sky,-5.55,12.2,Hotel Maiombe
592,Labuhan,ID,78.22,overcast clouds,-6.8844,112.2051,DoubleFAG
595,Los Chiles,CR,89.15,broken clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
596,Linfen,CN,72.95,overcast clouds,36.0889,111.5189,Suoxing Hotel
599,Gushikawa,JP,70.83,clear sky,26.3544,127.8686,Kirari Guest House
604,Pahrump,US,76.84,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
608,Rincon,US,87.76,broken clouds,32.296,-81.2354,Days Inn Rincon
610,Sabang,ID,83.68,overcast clouds,5.8933,95.3214,Hotel Citra
612,Alghero,IT,71.69,clear sky,40.5589,8.3181,Smy Carlos V Alghero
625,Ibra,OM,87.84,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
627,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
629,Pacific Grove,US,71.35,haze,36.6177,-121.9166,Lovers Point Inn
631,Porto Recanati,IT,75.97,clear sky,43.4365,13.6613,Hotel Il Brigantino
632,Kalmunai,LK,82.09,overcast clouds,7.4167,81.8167,VS Villa
637,Vilhena,BR,83.89,scattered clouds,-12.7406,-60.1458,Hotel Mirage
640,San Jose Del Guaviare,CO,82.13,broken clouds,2.5729,-72.6459,Hotel Aeropuerto
642,Salamiyah,SY,77.09,overcast clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
643,Benidorm,ES,76.32,overcast clouds,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
650,Buala,SB,79.41,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
651,Ingham,US,71.17,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
652,Puerto Parra,CO,87.71,few clouds,6.6515,-74.0573,Casa Hotel Villa Johana
661,Buritis,BR,83.03,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
666,Kiunga,PG,71.64,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
667,Honiara,SB,77.29,few clouds,-9.4333,159.95,Heritage Park Hotel
668,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
669,Aguazul,CO,81.34,broken clouds,5.1728,-72.5471,CENTRO VACACIONAL & HOTEL CAMPESTRE LAGO CENTER
674,Ixtapa,MX,81.63,clear sky,20.7,-105.2,hotel la terminal
675,Shekhupura,PK,87.85,clear sky,31.7131,73.9783,Best Holidays Inn
